,birthdate,good_bad_flag,age,flag
41,1988-04-28,Bad,34.6,1.0
42,1988-04-28,Bad,34.6,1.0
162,1984-12-22,Bad,38.0,1.0
163,1984-12-22,Bad,38.0,1.0
164,1984-12-22,Bad,38.0,1.0
185,1991-03-03,Bad,31.8,1.0
186,1991-03-03,Bad,31.8,1.0
187,1979-09-05,Bad,43.3,1.0
188,1982-07-17,Bad,40.4,1.0
189,1982-07-17,Bad,40.4,1.0
190,1982-07-17,Bad,40.4,1.0
191,1981-05-25,Bad,41.5,1.0
192,1981-05-25,Bad,41.5,1.0
193,1981-05-25,Bad,41.5,1.0
194,1981-05-25,Bad,41.5,1.0
195,1981-05-25,Bad,41.5,1.0
196,1981-05-25,Bad,41.5,1.0
197,1981-05-25,Bad,41.5,1.0
198,1981-05-25,Bad,41.5,1.0
199,1981-05-25,Bad,41.5,1.0
200,1981-05-25,Bad,41.5,1.0
201,1990-07-11,Bad,32.4,1.0
202,1990-07-11,Bad,32.4,1.0
203,1990-07-11,Bad,32.4,1.0
249,1987-12-03,Bad,35.0,1.0
250,1987-12-03,Bad,35.0,1.0
278,1990-11-27,Bad,32.0,1.0
279,1990-11-27,Bad,32.0,1.0
280,1990-11-27,Bad,32.0,1.0
352,1986-01-01,Bad,36.9,1.0
353,1986-01-01,Bad,36.9,1.0
394,1992-06-16,Bad,30.5,1.0
395,1987-05-03,Bad,35.6,1.0
396,1987-05-03,Bad,35.6,1.0
397,1987-05-03,Bad,35.6,1.0
398,1987-05-03,Bad,35.6,1.0
399,1987-05-03,Bad,35.6,1.0
400,1987-05-03,Bad,35.6,1.0
401,1984-04-14,Bad,38.7,1.0
402,1984-04-14,Bad,38.7,1.0
403,1984-04-14,Bad,38.7,1.0
404,1984-04-14,Bad,38.7,1.0
430,1983-08-08,Bad,39.3,1.0
431,1983-08-08,Bad,39.3,1.0
432,1983-08-08,Bad,39.3,1.0
433,1983-08-08,Bad,39.3,1.0
434,1983-08-08,Bad,39.3,1.0
473,1981-03-30,Bad,41.7,1.0
474,1981-03-30,Bad,41.7,1.0
475,1981-03-30,Bad,41.7,1.0
476,1981-03-30,Bad,41.7,1.0
477,1981-03-30,Bad,41.7,1.0
478,1981-03-30,Bad,41.7,1.0
479,1981-03-30,Bad,41.7,1.0
480,1981-03-30,Bad,41.7,1.0
481,1981-03-30,Bad,41.7,1.0
490,1994-10-18,Bad,28.1,1.0
493,1988-09-16,Bad,34.2,1.0
494,1988-09-16,Bad,34.2,1.0
495,1988-07-16,Bad,34.4,1.0
496,1988-07-16,Bad,34.4,1.0
497,1988-07-16,Bad,34.4,1.0
498,1966-02-14,Bad,56.8,1.0
499,1966-02-14,Bad,56.8,1.0
500,1966-02-14,Bad,56.8,1.0
529,1993-12-13,Bad,29.0,1.0
530,1993-12-13,Bad,29.0,1.0
531,1993-12-13,Bad,29.0,1.0
543,1979-09-24,Bad,43.2,1.0
544,1979-09-24,Bad,43.2,1.0
545,1979-09-24,Bad,43.2,1.0
546,1979-09-24,Bad,43.2,1.0
547,1979-09-24,Bad,43.2,1.0
548,1979-09-24,Bad,43.2,1.0
549,1979-09-24,Bad,43.2,1.0
550,1979-09-24,Bad,43.2,1.0
551,1979-09-24,Bad,43.2,1.0
552,1979-09-24,Bad,43.2,1.0
553,1979-09-24,Bad,43.2,1.0
609,1982-08-31,Bad,40.3,1.0
610,1982-08-31,Bad,40.3,1.0
611,1982-08-31,Bad,40.3,1.0
612,1982-08-31,Bad,40.3,1.0
613,1982-08-31,Bad,40.3,1.0
614,1982-08-31,Bad,40.3,1.0
615,1982-08-31,Bad,40.3,1.0
616,1982-08-31,Bad,40.3,1.0
617,1982-08-31,Bad,40.3,1.0
618,1982-08-31,Bad,40.3,1.0
619,1982-08-31,Bad,40.3,1.0
666,1980-09-08,Bad,42.3,1.0
667,1976-02-28,Bad,46.8,1.0
668,1976-02-28,Bad,46.8,1.0
669,1976-02-28,Bad,46.8,1.0
670,1976-02-28,Bad,46.8,1.0
671,1976-02-28,Bad,46.8,1.0
672,1976-02-28,Bad,46.8,1.0
673,1976-02-28,Bad,46.8,1.0
674,1976-02-28,Bad,46.8,1.0
675,1976-02-28,Bad,46.8,1.0
685,1990-10-12,Bad,32.2,1.0
686,1990-10-12,Bad,32.2,1.0
687,1990-10-12,Bad,32.2,1.0
688,1990-10-12,Bad,32.2,1.0
689,1990-10-12,Bad,32.2,1.0
690,1990-10-12,Bad,32.2,1.0
691,1990-10-12,Bad,32.2,1.0
692,1990-10-12,Bad,32.2,1.0
704,1983-01-13,Bad,39.9,1.0
705,1983-01-13,Bad,39.9,1.0
706,1983-01-13,Bad,39.9,1.0
707,1983-01-13,Bad,39.9,1.0
724,1979-10-07,Bad,43.2,1.0
725,1979-10-07,Bad,43.2,1.0
726,1979-10-07,Bad,43.2,1.0
727,1979-10-07,Bad,43.2,1.0
728,1979-10-07,Bad,43.2,1.0
729,1979-10-07,Bad,43.2,1.0
730,1979-10-07,Bad,43.2,1.0
752,1980-12-22,Bad,42.0,1.0
876,1979-07-09,Bad,43.4,1.0
877,1979-07-09,Bad,43.4,1.0
878,1979-07-09,Bad,43.4,1.0
879,1979-07-09,Bad,43.4,1.0
880,1979-07-09,Bad,43.4,1.0
881,1979-07-09,Bad,43.4,1.0
882,1979-07-09,Bad,43.4,1.0
883,1979-07-09,Bad,43.4,1.0
909,1979-04-19,Bad,43.6,1.0
910,1979-04-19,Bad,43.6,1.0
911,1979-04-19,Bad,43.6,1.0
912,1979-04-19,Bad,43.6,1.0
935,1974-04-04,Bad,48.7,1.0
936,1974-04-04,Bad,48.7,1.0
937,1974-04-04,Bad,48.7,1.0
938,1990-12-17,Bad,32.0,1.0
939,1990-12-17,Bad,32.0,1.0
981,1991-12-17,Bad,31.0,1.0
982,1991-12-17,Bad,31.0,1.0
983,1991-12-17,Bad,31.0,1.0
984,1991-12-17,Bad,31.0,1.0
997,1982-07-04,Bad,40.4,1.0
998,1982-07-04,Bad,40.4,1.0
1049,1977-04-30,Bad,45.6,1.0
1050,1977-04-30,Bad,45.6,1.0
1051,1977-04-30,Bad,45.6,1.0
1052,1977-04-30,Bad,45.6,1.0
1053,1977-04-30,Bad,45.6,1.0
1054,1977-04-30,Bad,45.6,1.0
1055,1977-04-30,Bad,45.6,1.0
1078,1990-10-16,Bad,32.2,1.0
1079,1990-10-16,Bad,32.2,1.0
1080,1990-10-16,Bad,32.2,1.0
1081,1990-10-16,Bad,32.2,1.0
1082,1990-10-16,Bad,32.2,1.0
1083,1977-03-25,Bad,45.7,1.0
1084,1977-03-25,Bad,45.7,1.0
1085,1977-03-25,Bad,45.7,1.0
1086,1977-03-25,Bad,45.7,1.0
1087,1977-03-25,Bad,45.7,1.0
1088,1977-03-25,Bad,45.7,1.0
1089,1977-03-25,Bad,45.7,1.0
1090,1977-03-25,Bad,45.7,1.0
1091,1977-03-25,Bad,45.7,1.0
1092,1977-03-25,Bad,45.7,1.0
1093,1977-03-25,Bad,45.7,1.0
1094,1977-03-25,Bad,45.7,1.0
1095,1977-03-25,Bad,45.7,1.0
1096,1979-02-28,Bad,43.8,1.0
1097,1979-02-28,Bad,43.8,1.0
1098,1979-02-28,Bad,43.8,1.0
1099,1986-07-20,Bad,36.4,1.0
1100,1986-07-20,Bad,36.4,1.0
1101,1992-01-05,Bad,30.9,1.0
1102,1983-04-20,Bad,39.6,1.0
1103,1983-04-20,Bad,39.6,1.0
1104,1983-04-20,Bad,39.6,1.0
1105,1983-04-20,Bad,39.6,1.0
1106,1983-04-20,Bad,39.6,1.0
1107,1983-04-20,Bad,39.6,1.0
1108,1983-04-20,Bad,39.6,1.0
1109,1983-04-20,Bad,39.6,1.0
1110,1983-04-20,Bad,39.6,1.0
1111,1983-04-20,Bad,39.6,1.0
1183,1992-02-02,Bad,30.9,1.0
1184,1992-02-02,Bad,30.9,1.0
1185,1992-02-02,Bad,30.9,1.0
1269,1983-02-11,Bad,39.8,1.0
1270,1983-02-11,Bad,39.8,1.0
1271,1983-02-11,Bad,39.8,1.0
1272,1983-02-11,Bad,39.8,1.0
1273,1983-02-11,Bad,39.8,1.0
1274,1983-02-11,Bad,39.8,1.0
1275,1983-02-11,Bad,39.8,1.0
1276,1983-02-11,Bad,39.8,1.0
1277,1983-02-11,Bad,39.8,1.0
1278,1983-02-11,Bad,39.8,1.0
1279,1983-02-11,Bad,39.8,1.0
1280,1981-05-03,Bad,41.6,1.0
1281,1981-05-03,Bad,41.6,1.0
1282,1981-05-03,Bad,41.6,1.0
1283,1988-07-20,Bad,34.4,1.0
1284,1980-09-09,Bad,42.3,1.0
1285,1980-09-09,Bad,42.3,1.0
1286,1980-09-09,Bad,42.3,1.0
1287,1980-09-09,Bad,42.3,1.0
1288,1980-09-09,Bad,42.3,1.0
1289,1980-09-09,Bad,42.3,1.0
1290,1980-09-09,Bad,42.3,1.0
1291,1980-09-09,Bad,42.3,1.0
1292,1980-09-09,Bad,42.3,1.0
1293,1985-10-24,Bad,37.1,1.0
1294,1985-10-24,Bad,37.1,1.0
1295,1985-10-24,Bad,37.1,1.0
1296,1985-10-24,Bad,37.1,1.0
1297,1985-10-24,Bad,37.1,1.0
1298,1985-10-24,Bad,37.1,1.0
1299,1985-10-24,Bad,37.1,1.0
1300,1985-10-24,Bad,37.1,1.0
1301,1985-10-24,Bad,37.1,1.0
1302,1985-10-24,Bad,37.1,1.0
1329,1984-03-23,Bad,38.7,1.0
1330,1984-03-23,Bad,38.7,1.0
1331,1984-03-23,Bad,38.7,1.0
1332,1984-03-23,Bad,38.7,1.0
1333,1984-03-23,Bad,38.7,1.0
1334,1984-03-23,Bad,38.7,1.0
1335,1984-03-23,Bad,38.7,1.0
1336,1984-03-23,Bad,38.7,1.0
1337,1984-03-23,Bad,38.7,1.0
1351,1986-07-28,Bad,36.4,1.0
1352,1986-07-28,Bad,36.4,1.0
1353,1986-07-28,Bad,36.4,1.0
1374,1978-02-20,Bad,44.8,1.0
1375,1978-02-20,Bad,44.8,1.0
1376,1978-02-20,Bad,44.8,1.0
1377,1978-02-20,Bad,44.8,1.0
1386,1984-11-24,Bad,38.0,1.0
1387,1978-01-14,Bad,44.9,1.0
1388,1978-01-14,Bad,44.9,1.0
1389,1978-01-14,Bad,44.9,1.0
1390,1978-01-14,Bad,44.9,1.0
1391,1987-04-03,Bad,35.7,1.0
1392,1987-04-03,Bad,35.7,1.0
1432,1987-10-20,Bad,35.1,1.0
1433,1987-10-20,Bad,35.1,1.0
1456,1972-11-28,Bad,50.0,1.0
1457,1972-11-28,Bad,50.0,1.0
1458,1972-11-28,Bad,50.0,1.0
1459,1972-11-28,Bad,50.0,1.0
1460,1972-11-28,Bad,50.0,1.0
1461,1972-11-28,Bad,50.0,1.0
1475,1986-09-18,Bad,36.2,1.0
1476,1986-09-18,Bad,36.2,1.0
1477,1987-04-06,Bad,35.7,1.0
1478,1987-04-06,Bad,35.7,1.0
1479,1987-04-06,Bad,35.7,1.0
1480,1981-04-14,Bad,41.7,1.0
1481,1981-04-14,Bad,41.7,1.0
1482,1981-04-14,Bad,41.7,1.0
1523,1982-09-20,Bad,40.2,1.0
1579,1975-02-13,Bad,47.8,1.0
1580,1975-02-13,Bad,47.8,1.0
1581,1975-02-13,Bad,47.8,1.0
1622,1984-10-25,Bad,38.1,1.0
1623,1984-10-25,Bad,38.1,1.0
1624,1984-10-25,Bad,38.1,1.0
1633,1987-01-10,Bad,35.9,1.0
1634,1984-03-11,Bad,38.8,1.0
1635,1984-03-11,Bad,38.8,1.0
1636,1974-02-01,Bad,48.9,1.0
1637,1974-02-01,Bad,48.9,1.0
1638,1974-02-01,Bad,48.9,1.0
1639,1974-02-01,Bad,48.9,1.0
1640,1974-02-01,Bad,48.9,1.0
1641,1985-12-18,Bad,37.0,1.0
1642,1985-12-18,Bad,37.0,1.0
1643,1985-12-18,Bad,37.0,1.0
1644,1985-12-18,Bad,37.0,1.0
1694,1983-10-19,Bad,39.1,1.0
1695,1983-10-19,Bad,39.1,1.0
1696,1983-10-19,Bad,39.1,1.0
1720,1972-12-12,Bad,50.0,1.0
1737,1982-07-07,Bad,40.4,1.0
1747,1987-06-18,Bad,35.5,1.0
1748,1987-06-18,Bad,35.5,1.0
1749,1987-06-18,Bad,35.5,1.0
1750,1987-06-18,Bad,35.5,1.0
1751,1987-06-18,Bad,35.5,1.0
1752,1987-06-18,Bad,35.5,1.0
1800,1973-03-10,Bad,49.8,1.0
1801,1973-03-10,Bad,49.8,1.0
1802,1973-03-10,Bad,49.8,1.0
1812,1988-11-22,Bad,34.1,1.0
1816,1964-06-10,Bad,58.5,1.0
1817,1964-06-10,Bad,58.5,1.0
1818,1964-06-10,Bad,58.5,1.0
1819,1964-06-10,Bad,58.5,1.0
1820,1964-06-10,Bad,58.5,1.0
1821,1964-06-10,Bad,58.5,1.0
1822,1994-08-13,Bad,28.3,1.0
1823,1994-08-13,Bad,28.3,1.0
1824,1994-08-13,Bad,28.3,1.0
1825,1994-08-13,Bad,28.3,1.0
1826,1994-08-13,Bad,28.3,1.0
1827,1994-08-13,Bad,28.3,1.0
1828,1994-08-13,Bad,28.3,1.0
1845,1975-11-05,Bad,47.1,1.0
1950,1983-12-03,Bad,39.0,1.0
1951,1983-12-03,Bad,39.0,1.0
1952,1983-12-03,Bad,39.0,1.0
1985,1980-06-29,Bad,42.5,1.0
2059,1984-02-20,Bad,38.8,1.0
2060,1984-02-20,Bad,38.8,1.0
2061,1984-02-20,Bad,38.8,1.0
2062,1984-02-20,Bad,38.8,1.0
2063,1984-02-20,Bad,38.8,1.0
2065,1992-07-21,Bad,30.4,1.0
2066,1992-07-21,Bad,30.4,1.0
2067,1992-07-21,Bad,30.4,1.0
2068,1992-07-21,Bad,30.4,1.0
2069,1992-07-21,Bad,30.4,1.0
2070,1976-02-23,Bad,46.8,1.0
2222,1986-04-11,Bad,36.7,1.0
2223,1986-04-11,Bad,36.7,1.0
2224,1986-04-11,Bad,36.7,1.0
2225,1986-04-11,Bad,36.7,1.0
2226,1986-04-11,Bad,36.7,1.0
2227,1986-04-11,Bad,36.7,1.0
2228,1986-04-11,Bad,36.7,1.0
2229,1986-04-11,Bad,36.7,1.0
2230,1986-04-11,Bad,36.7,1.0
2241,1979-04-23,Bad,43.6,1.0
2242,1979-04-23,Bad,43.6,1.0
2243,1979-04-23,Bad,43.6,1.0
2244,1979-04-23,Bad,43.6,1.0
2245,1979-04-23,Bad,43.6,1.0
2246,1979-04-23,Bad,43.6,1.0
2247,1979-04-23,Bad,43.6,1.0
2248,1979-04-23,Bad,43.6,1.0
2249,1971-09-23,Bad,51.2,1.0
2250,1971-09-23,Bad,51.2,1.0
2251,1971-09-23,Bad,51.2,1.0
2252,1971-09-23,Bad,51.2,1.0
2253,1971-09-23,Bad,51.2,1.0
2254,1971-09-23,Bad,51.2,1.0
2255,1971-09-23,Bad,51.2,1.0
2256,1971-09-23,Bad,51.2,1.0
2257,1995-02-21,Bad,27.8,1.0
2258,1995-02-21,Bad,27.8,1.0
2259,1995-02-21,Bad,27.8,1.0
2260,1995-02-21,Bad,27.8,1.0
2261,1995-02-21,Bad,27.8,1.0
2262,1995-02-21,Bad,27.8,1.0
2263,1995-02-21,Bad,27.8,1.0
2317,1981-05-13,Bad,41.6,1.0
2318,1981-05-13,Bad,41.6,1.0
2319,1981-05-13,Bad,41.6,1.0
2320,1981-05-13,Bad,41.6,1.0
2349,1982-06-25,Bad,40.5,1.0
2361,1979-11-23,Bad,43.1,1.0
2362,1979-11-23,Bad,43.1,1.0
2409,1986-02-23,Bad,36.8,1.0
2410,1986-02-23,Bad,36.8,1.0
2411,1986-02-23,Bad,36.8,1.0
2412,1986-02-23,Bad,36.8,1.0
2413,1986-02-23,Bad,36.8,1.0
2414,1986-02-23,Bad,36.8,1.0
2415,1986-02-23,Bad,36.8,1.0
2416,1986-02-23,Bad,36.8,1.0
2417,1986-02-23,Bad,36.8,1.0
2418,1988-06-27,Bad,34.5,1.0
2419,1988-06-27,Bad,34.5,1.0
2420,1988-10-18,Bad,34.1,1.0
2421,1988-10-18,Bad,34.1,1.0
2422,1988-10-18,Bad,34.1,1.0
2423,1988-10-18,Bad,34.1,1.0
2424,1988-10-18,Bad,34.1,1.0
2425,1981-06-17,Bad,41.5,1.0
2426,1981-06-17,Bad,41.5,1.0
2427,1981-06-17,Bad,41.5,1.0
2428,1990-03-03,Bad,32.8,1.0
2429,1990-03-03,Bad,32.8,1.0
2430,1990-03-03,Bad,32.8,1.0
2435,1980-07-16,Bad,42.4,1.0
2445,1990-08-27,Bad,32.3,1.0
2448,1988-12-23,Bad,34.0,1.0
2449,1988-12-23,Bad,34.0,1.0
2450,1988-12-23,Bad,34.0,1.0
2451,1988-12-23,Bad,34.0,1.0
2452,1988-12-23,Bad,34.0,1.0
2465,1990-11-19,Bad,32.1,1.0
2466,1990-11-19,Bad,32.1,1.0
2467,1990-11-19,Bad,32.1,1.0
2468,1990-11-19,Bad,32.1,1.0
2469,1990-11-19,Bad,32.1,1.0
2470,1990-11-19,Bad,32.1,1.0
2471,1990-11-19,Bad,32.1,1.0
2507,1992-01-02,Bad,30.9,1.0
2508,1992-01-02,Bad,30.9,1.0
2509,1992-01-02,Bad,30.9,1.0
2510,1992-01-02,Bad,30.9,1.0
2511,1992-01-02,Bad,30.9,1.0
2512,1992-01-02,Bad,30.9,1.0
2513,1992-01-02,Bad,30.9,1.0
2514,1992-01-02,Bad,30.9,1.0
2548,1993-11-18,Bad,29.1,1.0
2549,1993-11-18,Bad,29.1,1.0
2550,1993-11-18,Bad,29.1,1.0
2551,1984-12-06,Bad,38.0,1.0
2552,1984-12-06,Bad,38.0,1.0
2553,1984-12-06,Bad,38.0,1.0
2554,1984-12-06,Bad,38.0,1.0
2555,1993-10-26,Bad,29.1,1.0
2556,1993-10-26,Bad,29.1,1.0
2557,1986-07-09,Bad,36.4,1.0
2558,1986-07-09,Bad,36.4,1.0
2559,1986-07-09,Bad,36.4,1.0
2560,1986-07-09,Bad,36.4,1.0
2561,1986-07-09,Bad,36.4,1.0
2562,1986-07-09,Bad,36.4,1.0
2563,1986-07-09,Bad,36.4,1.0
2564,1986-07-09,Bad,36.4,1.0
2565,1986-07-09,Bad,36.4,1.0
2566,1986-07-09,Bad,36.4,1.0
2567,1986-07-09,Bad,36.4,1.0
2568,1986-07-09,Bad,36.4,1.0
2569,1986-07-09,Bad,36.4,1.0
2593,1982-10-19,Bad,40.1,1.0
2629,1989-04-15,Bad,33.7,1.0
2630,1989-04-15,Bad,33.7,1.0
2657,1985-12-12,Bad,37.0,1.0
2658,1985-12-12,Bad,37.0,1.0
2659,1985-12-12,Bad,37.0,1.0
2660,1985-12-12,Bad,37.0,1.0
2661,1985-12-12,Bad,37.0,1.0
2670,1982-08-13,Bad,40.3,1.0
2722,1973-04-26,Bad,49.6,1.0
2723,1973-04-26,Bad,49.6,1.0
2724,1995-06-13,Bad,27.5,1.0
2725,1995-06-13,Bad,27.5,1.0
2726,1995-06-13,Bad,27.5,1.0
2727,1995-06-13,Bad,27.5,1.0
2728,1978-08-16,Bad,44.3,1.0
2758,1986-02-14,Bad,36.8,1.0
2759,1986-02-14,Bad,36.8,1.0
2760,1986-02-14,Bad,36.8,1.0
2761,1986-02-14,Bad,36.8,1.0
2762,1986-02-14,Bad,36.8,1.0
2763,1986-02-14,Bad,36.8,1.0
2764,1986-02-14,Bad,36.8,1.0
2765,1986-02-14,Bad,36.8,1.0
2766,1986-02-14,Bad,36.8,1.0
2936,1989-02-03,Bad,33.9,1.0
2937,1989-02-03,Bad,33.9,1.0
2938,1989-02-03,Bad,33.9,1.0
2939,1989-02-03,Bad,33.9,1.0
2940,1989-02-03,Bad,33.9,1.0
2941,1989-02-03,Bad,33.9,1.0
2942,1990-09-10,Bad,32.3,1.0
2943,1990-09-10,Bad,32.3,1.0
2944,1990-09-10,Bad,32.3,1.0
2945,1990-09-10,Bad,32.3,1.0
2946,1990-09-10,Bad,32.3,1.0
2947,1990-09-10,Bad,32.3,1.0
2957,1990-03-19,Bad,32.7,1.0
2958,1990-03-19,Bad,32.7,1.0
3006,1981-10-06,Bad,41.2,1.0
3007,1981-10-06,Bad,41.2,1.0
3019,1990-01-11,Bad,32.9,1.0
3020,1990-01-11,Bad,32.9,1.0
3021,1990-01-11,Bad,32.9,1.0
3022,1990-01-11,Bad,32.9,1.0
3023,1990-01-11,Bad,32.9,1.0
3024,1990-01-11,Bad,32.9,1.0
3025,1990-01-11,Bad,32.9,1.0
3029,1989-06-08,Bad,33.5,1.0
3030,1981-02-21,Bad,41.8,1.0
3031,1981-02-21,Bad,41.8,1.0
3032,1981-02-21,Bad,41.8,1.0
3033,1981-02-21,Bad,41.8,1.0
3034,1981-02-21,Bad,41.8,1.0
3035,1981-02-21,Bad,41.8,1.0
3036,1981-02-21,Bad,41.8,1.0
3037,1981-02-21,Bad,41.8,1.0
3038,1981-02-21,Bad,41.8,1.0
3039,1981-02-21,Bad,41.8,1.0
3040,1981-02-21,Bad,41.8,1.0
3080,1986-10-29,Bad,36.1,1.0
3081,1986-10-29,Bad,36.1,1.0
3082,1986-10-29,Bad,36.1,1.0
3083,1986-10-29,Bad,36.1,1.0
3084,1987-02-02,Bad,35.9,1.0
3085,1987-02-02,Bad,35.9,1.0
3086,1978-09-15,Bad,44.2,1.0
3087,1978-09-15,Bad,44.2,1.0
3126,1991-12-20,Bad,31.0,1.0
3128,1975-01-23,Bad,47.9,1.0
3130,1988-02-14,Bad,34.8,1.0
3131,1983-01-13,Bad,39.9,1.0
3187,1991-04-25,Bad,31.6,1.0
3188,1991-04-25,Bad,31.6,1.0
3197,1975-07-09,Bad,47.4,1.0
3198,1975-07-09,Bad,47.4,1.0
3226,1984-09-01,Bad,38.3,1.0
3227,1984-09-01,Bad,38.3,1.0
3228,1984-09-01,Bad,38.3,1.0
3229,1984-09-01,Bad,38.3,1.0
3236,1964-01-18,Bad,58.9,1.0
3287,1983-02-28,Bad,39.8,1.0
3288,1983-02-28,Bad,39.8,1.0
3289,1983-02-28,Bad,39.8,1.0
3290,1983-02-28,Bad,39.8,1.0
